"place_id","place_name","place_url","website","formatted_address","latitude","longitude","street","city","state","country","zipcode","price_level","reservable","takeout","dine_in","serves_lunch","serves_dinner","serves_beer","serves_wine","serves_brunch","serves_vegetarian_food","opening_hours","total_rating_value","total_rating_count","brand"
"ChIJNZnFA5LGwoARFLcZIl_M8p4","IHOP","https://maps.google.com/?cid=11453441511322662676","https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-2227-n-figueroa-st-744?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=744&utm_content=website","2227 N Figueroa St, Los Angeles, CA 90065, USA","34.083267090909","-118.22332727273","2227 N Figueroa St"," Los Angeles","CA"," USA","90065","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4.2","2447","Dine Brands"
"ChIJoQAdMmSdQIYRdl7ecSOE3as","Fuzzy's Taco Shop","https://maps.google.com/?cid=12384199838107852406","https://fuzzystacoshop.com/locations/texas/league-city/","2660 Marina Bay Dr, League City, TX 77573, USA","29.532350008134","-95.070542932928","2660 Marina Bay Dr"," League City","TX"," USA","77573","1","False","True","True","True","True","True","True","True","True","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1000'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']}","4.3","1247","Dine Brands"
"ChIJHTOfvBOZwoARvhZbxC1c9HA","IHOP","https://maps.google.com/?cid=8139231778202916542","https://restaurants.ihop.com/en-us/ca/tarzana/breakfast-19100-ventura-blvd-748?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=748&utm_content=website","19100 Ventura Blvd, Tarzana, CA 91356, USA","34.17244","-118.548477","19100 Ventura Blvd"," Tarzana","CA"," USA","91356","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: Open 24 hours', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']}","3.9","1096","Dine Brands"
"ChIJxYyaKq--woARHpeKzYN9mt4","Gracias Madre","https://maps.google.com/?cid=16040271027876042526","https://graciasmadre.com/location-west-hollywood","8905 Melrose Ave, West Hollywood, CA 90069, USA","34.0809551","-118.386948","8905 Melrose Ave"," West Hollywood","CA"," USA","90069","3","True","True","True","True","True","True","True","True","True","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']}","4.5","3492","Other"
"ChIJDWj_ml7GwoARovw-oXJNxXw","Nick's Cafe","https://maps.google.com/?cid=8990677385841933474","https://www.nickscafela.com/","1300 N Spring St, Los Angeles, CA 90012, USA","34.0660312","-118.23313433675","1300 N Spring St"," Los Angeles","CA"," USA","90012","2","","True","True","True","False","True","True","True","False","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20093:00\u202fPM']}","4.6","1577","Other"
"ChIJs1I9uSm_woAR3xXHBAwPbDY","BevMo!","https://maps.google.com/?cid=3921525919827039711","https://www.bevmo.com/","7100 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0905269","-118.3457736","7100 Santa Monica Blvd"," West Hollywood","CA"," USA","90046","2","","","","","","","","","","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']}","4.2","254","Other"
"ChIJx8T3gpKXwoAR-hsjwe375ak","IHOP","https://maps.google.com/?cid=12242468160642685946","https://restaurants.ihop.com/en-us/ca/encino/breakfast-15635-ventura-blvd-718?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=718&utm_content=website","15635 Ventura Blvd, Los Angeles, CA 91436, USA","34.15544135","-118.47473957556","15635 Ventura Blvd"," Los Angeles","CA"," USA","91436","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4","1606","Dine Brands"
"ChIJK9vwNo6awoAR3vT6GLYX0uQ","IHOP","https://maps.google.com/?cid=16488267256627393758","https://restaurants.ihop.com/en-us/ca/granada-hills/breakfast-16943-devonshire-st-727?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=727&utm_content=website","16943 Devonshire St, Los Angeles, CA 91344, USA","34.25758669965","-118.49994005691","16943 Devonshire St"," Los Angeles","CA"," USA","91344","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']}","4.2","1209","Dine Brands"
"ChIJayJxQjS_woARavKnsb3Qpn8","The Three Clubs","https://maps.google.com/?cid=9198268802098786922","http://threeclubs.com/","1123 Vine St, Los Angeles, CA 90038, USA","34.091419461538","-118.32672653846","1123 Vine St"," Los Angeles","CA"," USA","90038","2","True","False","True","","","True","True","","","{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u20092:00\u202fAM']}","4.4","424","Other"
"ChIJczrmpc2wwoAR2O2_x3vPimo","IHOP","https://maps.google.com/?cid=7677176645345603032","https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-8600-s-sepulveda-blvd-782?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=782&utm_content=website","8600 S Sepulveda Blvd, Los Angeles, CA 90045, USA","33.9704376","-118.3952538","8600 S Sepulveda Blvd"," Los Angeles","CA"," USA","90045","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4.2","3421","Dine Brands"
